Alimento,Palatabildiade Café (0010),Palatabildiade Almoço (0010),Palatabildiade Jantar (0010),Preço,Alfa0tocoferol (Vitami0 E) (mg), Açúcar de adição (g),Carboidrato disponível (g),Carboidrato total (g), Cinzas (g), Cobre (mg), Colesterol (mg), Cálcio (mg), Energia (kJ/kcal), Equivalente de folato (mcg), Ferro (mg), Fibra alimentar (g), Fósforo (mg), Lipídios (g), Magnésio (mg), Manganês (mg), Niaci0 (mg), Potássio (mg), Proteí0 (g), Riboflavi0 (mg), Sal de adição (g), Selênio (mcg), Sódio (mg), Tiami0 (mg), Umidade (g), Vitami0 A (RAE) (mcg), Vitami0 A (RE) (mcg), Vitami0 B12 (mcg), Vitami0 B6 (mg), Vitami0 C (mg), Vitami0 D (mcg), Zinco (mg), Ácidos graxos monoinsaturados (g), Ácidos graxos poliinsaturados (g), Ácidos graxos saturados (g), Ácidos graxos 0ans (g), Álcool (g)
Brigadeiro. c/ chocolate ao leite. caseiro,8,4,4,2.25,0.04,0,14.4,14.5,0.39,0.03,5.91,48,96,2.73,0.15,0.07,39.5,3.68,7.58,0.02,0.04,67.1,1.48,0.06,0,0.8,25.8,0.01,4.95,11.8,12.1,0.11,0.04,0,0.03,0.16,1.53,0.43,1.74,0.03,0
Brigadeiro. lata,8,3,3,10,0.04,0,11.9,11.9,0.32,0,5.13,52.7,65,2.31,0.04,0,73.5,1.3,4.62,0,0.04,73.5,1.44,0.09,0,0,27.1,0,5.02,13.1,0,0.07,0,0.55,0.04,0.17,0.38,0.07,0.8,0,0
Brócolis. flor. à milanesa (farinha de 0igo. ovo e farinha de rosca). frita em imersão. c/ sal,4,8,10,12.5,0.93,0,3.31,4.42,0.39,0.05,17.3,19.3,53,22.1,0.53,1.11,25.9,3.44,7.38,0.1,0.03,70.8,1.78,0.03,0.13,2.5,73.1,0.02,30,63.1,119,0.04,0,11.8,0.08,0.21,0.84,1.84,0.61,0.05,0
Brócolis. flor. cozido. dre0do. s/ óleo. c/ sal,3,7,9,4.5,1.91,0.00,1.17,4.44,0.58,0.08,0.00,56.9,27,83.0,0.60,3.28,37.1,0.54,16.3,0.13,0,197,2.71,0.03,0.32,0.34,130,0.05,91.7,185,370,0,0,47.0,0.00,0.27,0,0.24,0.12,0.12,0.00
Brócolis. flor. refogado (c/ óleo. cebola e alho). c/ sal,3,8,10,7.5,1.63,0.00,2.51,5.59,1.28,0.08,0.00,106,50,45.1,0.77,3.08,99.9,1.91,37.1,0.33,1.62,327,4.17,0.21,0.32,0.52,131,0.13,87.1,186,373,0.00,0.10,25.7,0.00,0.60,0.30,0.79,0.26,0.01,0.00
Broto de alfafa. c/ azeite de oliva. c/ sal,2,6,5,6.5,0.66,0,0.13,1.39,0.49,0.18,60.3,8.67,49,1.33,1.9,1.26,178,3.96,14.6,0.02,2.76,218,2.64,0.21,0.22,14.4,135,0.05,61.5,5.3,0,0.27,0.25,0,0,1.74,9.35,2.06,5.07,0,0
Broto de alfafa. c/ óleo de soja. c/ sal,2,6,5,6.5,0.3,0,0.13,1.39,0.49,0.19,60.3,8.67,49,1.33,1.88,1.26,178,3.96,14.6,0.02,2.76,218,2.64,0.21,0.22,14.4,135,0.05,61.5,5.3,0,0.27,0.25,0,0,1.74,7.61,3.76,5.11,0,0
Broto de alfafa. in 0tura,2,6,5,4.5,0.01,0,0.14,1.47,0.28,0.18,63.7,9.1,18,1.4,1.98,1.33,189,0.48,15.4,0.02,2.92,230,2.79,0.23,0,15.3,49,0.05,65,5.6,5.6,0.29,0.26,0,0,1.83,7.18,1.76,4.81,0,0
Brownie. c/ doce de leite. caseiro,8,4,3,7.5,0.39,0,21.7,22.3,0.43,0.11,58.1,23.9,226,5.34,0.98,0.67,53.5,14.2,17.8,0.3,0.15,95.9,2.35,0.04,0,1.62,20.1,0.04,10.7,127,129,0.12,0,0.24,0.17,0.35,3.89,0.49,7.59,0.34,0
Brownie. caseiro,8,4,3,5,0.43,0,20.8,21.6,0.4,0.12,63.4,15.7,233,5.31,1.09,0.75,51.6,15.4,18.8,0.33,0.17,92.2,2.27,0.03,0,1.8,15.7,0.04,10.4,139,141,0.12,0,0.26,0.18,0.36,4.11,0.44,8.36,0.38,0
Brownie. vegano,8,4,3,9,0.01,8.3,24.8,27.2,0.98,0.22,0,49.1,101,21.7,2.72,2.4,78.8,10.4,45.8,0.65,0.16,224,1.95,0.01,0,1.78,116,0.02,9.47,0,0,0,0.02,0,0,0.53,2.64,6.25,1.41,0.11,0
Bruschetta. c/ muçarela de búfala. c/ sal,4,5,7,11.5,0.3,0,22.3,23.9,1.52,0.11,8.32,65.8,175,140,1.46,1.59,100,6.34,16.2,0.23,2.05,85,6.58,0.16,0.33,14,463,0.22,31.7,17.5,19.8,0.26,0.04,2.31,0.04,0.78,2.53,0.93,1.8,0.09,0
Bruschetta. c/ tomate. c/ sal,4,5,7,7.5,0.34,0,25.3,27.2,1.42,0.11,0,44,166,161,1.66,1.83,59.9,4.66,16,0.26,2.37,93.9,4.83,0.16,0.33,14.3,450,0.26,31.9,6.57,7.25,0,0.04,3.11,0,0.48,2.48,1.05,0.42,0,0
Buriti. polpa. sem casca. in 0tura,6,3,2,4.5,19.6,0.00,7.41,22.4,0.98,0.11,0.00,132,207,0,1.11,15.0,4.00,15.4,31.0,6.06,8.43,218,2.19,0.05,0.00,30.0,7.00,0.00,59.0,1204,2408,0,0.07,37.9,0,0.77,14.4,0.40,4.16,0,0.00
Cacau. polpa. in 0tura. Brasil,5,3,2,6,0,0,17.2,19.4,0.28,0.15,0,12.1,78,0,0.26,2.19,9.34,0.14,24.6,0.04,0,71.6,0.95,0,0,0,0.7,0.25,79.2,0,0,0,0.04,13.6,0,0.59,0,0,0,0,0
Cajá. polpa. congelada,6,3,2,3.5,0,0,5.01,6.37,0.43,0.1,0,9.16,26,0,0.32,1.36,25.7,0.17,7.17,0.07,0,148,0.59,0,0,0,6.95,0.04,92.4,53,106,0,0,0,0,0.05,0,0,0,0,0
Cajá0Manga. in 0tura,6,3,2,3,0,0,4.88,6.3,0.21,0.01,0,7.01,25,0,0.08,1.42,13.5,0,6.21,0.03,0,65.7,0.7,0,0,0,0.79,0.06,47.8,0,0,0,0.03,14.7,0,0.1,0,0,0,0,0
Caju. castanha. torrada. c/ sal,6,3,2,11.5,0.98,0.00,20.0,24.0,2.33,1.26,0.00,28.4,617,67.8,5.76,4.09,547,49.6,258,1.45,0,700,20.7,0.05,0,11.5,125,0.29,3.37,0.00,0.00,0.00,0.39,0,0.00,5.06,28.4,8.67,8.24,0.12,0.00
Caju. polpa. congelada,5,3,2,3.5,0,0,8.54,9.35,0.2,0.07,0,0.84,39,0,0.15,0.82,9.77,0.15,7.07,0.05,2.25,87.7,0.48,0.02,0,0,4.16,0,89.8,9.09,18.2,0,0,118,0,0.08,0,0,0,0,0
Caju. polpa. in 0tura,5,3,2,4.5,0,0,7.8,10.1,0.3,0.07,0,1.39,43,0,0.15,2.34,15.4,0.49,9.94,0.12,0,121,0.77,0,0,0,2.92,0,88.3,8.69,17.4,0,0,257,0,0.09,0,0,0,0,0
Caju. suco. concen0ado. envasado,7,7,8,6,0,0,5.05,5.37,0.15,0.02,0,0.4,22,0,0.09,0.31,5.12,0.1,4.31,0.04,0,54.1,0.2,0.02,0,0,19.2,0,44.2,3.48,6.95,0,0,80.5,0,0.05,0,0,0,0,0
Cajuzinho,7,3,2,3.5,0.49,0,14.3,15.1,0.47,0.07,3.61,38.9,125,10.8,0.14,0.81,48.8,5.79,17.3,0.16,0.67,91.4,3.59,0.05,0,0,37.4,0.02,5.06,6.88,7.06,0.06,0.02,0,0.03,0.29,3.1,1.57,1.02,0,0
Caldo de feijão. c/ sal,3,9,9,2,0.10,0.00,3.73,8.84,0.95,0.34,0.00,18.0,46,52.0,0.89,5.12,55.0,1.05,24.7,0.23,0.00,162,2.78,0.00,0.47,1.65,188,0.04,86.4,0.00,0.00,0.00,0.03,0.27,0.00,1.12,0.23,0.61,0.17,0.00,0.00
Caldo de feijão. c/ toucinho defumado (bacon). c/ sal,3,10,10,2.75,0.12,0.00,3.75,8.87,0.97,0.35,4.47,18.5,80,52.2,0.94,5.12,59.8,4.26,25.2,0.23,0.25,171,4.14,0.00,0.47,1.65,195,0.04,81.8,0.00,0.00,0.09,0.03,0.27,0.00,1.16,1.54,1.34,1.17,0.03,0.00
Calzone. frios. c/ molho de tomate. caseiro. c/ sal,3,8,10,7.5,0.00,0.00,34.8,36.1,2.72,0.11,30.4,169,269,89.1,2.70,1.29,209,8.53,23.8,0.25,1.29,182,12.5,0.08,0.47,8.25,700,0.22,40.2,39.8,45.9,0.58,0.00,2.11,0.21,1.48,2.06,1.25,3.74,0.20,0.00
Camafeu,7,3,2,4.5,0.08,0,17.8,18.1,0.37,0.04,4.89,45.9,112,2.83,0.22,0.28,39.3,3.81,8.88,0.23,0.04,77.2,1.6,0.06,0,0.13,26.1,0.02,6.14,11.3,11.7,0.07,0.01,0.02,0.04,0.27,2.26,1.03,0.63,0.01,0
Camarão com batata e legumes. c/ sal,0,9,9,,1.14,0.00,2.70,3.88,1.37,0.19,96.4,50.5,62,22.4,1.18,1.18,124,1.86,14.6,0.13,0.21,163,7.96,0.01,0.45,0.14,347,0.03,84.9,57.2,110,0.64,0.04,15.5,0.03,0.60,0.36,0.86,0.38,0.02,0.00
Camarão com chuchu. c/ sal,0,10,10,,1.03,0.00,2.28,3.07,1.41,0.22,120,53.3,66,17.3,1.32,0.79,145,1.93,14.2,0.13,0.06,119,9.36,0.01,0.45,0.13,383,0.02,84.2,7.60,11.3,0.80,0.03,13.4,0.04,0.66,0.39,0.85,0.40,0.01,0.00
Camarão com legumes. c/ sal,0,8,9,,1.25,0.00,2.31,3.23,1.44,0.21,108,50.3,63,16.0,1.32,0.92,134,1.89,13.9,0.13,0.28,155,8.63,0.01,0.45,0.12,389,0.02,84.8,45.4,82.0,0.72,0.04,25.6,0.03,0.62,0.38,0.85,0.38,0.01,0.00
Camarão com molho branco (farinha de 0igo. manteiga e leite). c/ sal,4,10,10,27.5,1.30,0.00,5.28,5.77,1.93,0.23,127,143,131,18.9,1.50,0.49,212,6.63,17.9,0.11,0.63,156,12.1,0.11,0.45,3.20,489,0.03,73.6,33.8,34.5,1.00,0.04,3.38,0.07,1.01,1.57,1.57,2.74,0.08,0.00
Camarão com requeijão. c/ sal,3,10,10,24,1.12,0.00,2.00,2.42,2.27,0.23,140,173,153,15.4,1.39,0.42,290,10.1,16.3,0.11,0.07,127,13.2,0.08,0.45,4.50,604,0.01,72.0,62.7,63.4,0.97,0.04,3.38,0.19,1.20,2.46,0.93,4.88,0.24,0.00
Camarão 0 moranga. c/ sal,3,8,9,30,1.41,0.00,2.46,3.65,1.61,0.18,99.6,76.0,109,13.7,0.98,1.19,162,7.13,11.7,0.10,0.06,155,8.16,0.04,0.45,2.05,394,0.01,79.3,107,172,0.61,0.05,6.19,0.20,0.66,1.61,0.89,3.13,0.15,0.00
Camarão. Pitu. in 0tura,2,7,6,45,0,0.00,0.00,0.00,1.31,0,102,0,108,0,0,0,0,1.58,0,0,0,0,23.6,0,0.00,0,0,0,73.6,0,0,0,0,0,0,0,0.38,0.52,0.50,0,0.00
Camu0camu. in 0tura,5,3,2,11.5,0,0.00,6.34,6.91,0.28,0.02,0.00,8.40,30,5.29,0.50,0.57,0.06,0.20,2.60,0.10,0,144,0.45,0.03,0.00,0.40,0.33,0.06,92.2,0,0,0,0.03,0,0,0.20,0.04,0.03,0.06,0.00,0.00
Ca0. caldo (garapa),7,7,6,2,0.00,0,18.2,18.3,0.27,0.01,0.00,29.4,73,0.00,0.80,0.14,6.66,0,15.7,0.18,0,52.7,0,0,0,0.18,22.7,0,81.4,0.00,0.00,0.00,0.03,2.78,0.00,0.06,0,0,0,0,0.00
Canela. em pó,5,3,2,5.5,2.32,0.00,27.5,80.6,3.60,0.40,0.00,1002,243,6.00,8.32,53.1,64.0,1.24,60.0,17.5,1.33,431,3.99,0.04,0.00,3.10,10.00,0.02,10.6,15.0,0,0.00,0.16,3.80,0.00,1.83,0.25,0.07,0.35,0.00,0.00
Canjica. milho. branca. cozida. c/ leite integral e açúcar,6,5,4,4.5,0.04,7.00,22.4,23.6,0.27,0.03,1.35,42.6,113,3.76,0.06,1.22,40.6,1.24,5.84,0.02,0,69.8,2.36,0.04,0.00,4.54,27.6,0,72.5,0.29,0.58,0.13,0,0,0.00,0.28,0.37,0.15,0.60,0.02,0.00
Canjica. milho. branca. cozida. dre0da. s/ açúcar. Brasil,6,5,4,3.75,0.02,0.00,24.3,25.6,0.08,0.02,0.00,0.64,111,3.97,0.11,1.27,12.6,0.22,4.01,0.03,0,24.2,2.26,0,0.00,4.86,0.21,0,71.9,0.00,0.00,0.00,0,0,0.00,0.11,0.05,0.09,0.07,0,0.00
Canudinho. c/ recheio de brigadeiro,5,4,3,3,0.09,0,49.7,50.3,1.08,0.04,30.4,5.36,277,45.2,1.35,0.57,32.9,5.5,7.31,0.1,0.23,40.5,6.92,0.02,0,2,7.31,0.07,16.3,43,43,0.04,0,0,0,0.25,1.53,1.03,2.61,0.03,0
Canudinho. c/ recheio de brigadeiro. c/ cobertura de chocolate,6,4,3,3.75,0.15,0,49.2,49.8,1.19,0.08,27,35.9,307,37.9,1.39,0.63,60.2,9.33,16.6,0.13,0,82,6.45,0.05,0,2.32,16.8,0.06,13.2,34.4,34.4,0.15,0,0,0,0.35,2.85,0.97,4.93,0.07,0
Canudinho. c/ recheio de creme de coco,5,4,3,3,0.15,0,32.8,33.7,0.7,0.07,19.1,75.3,213,49.7,1.47,0.94,90.4,6.63,16.6,0.15,0.6,151,5.19,0.13,0,6.54,40.8,0.08,33.7,27.6,28,0.17,0.09,0.49,0.1,0.6,1.1,0.94,3.59,0.07,0
Caqui. c/ casca. in 0tura,7,3,2,3.5,0.84,0,15.1,20.1,0.49,0,0,14,74,8.68,0.1,5.01,19.4,0.22,7.78,4.11,0,172,0.53,0,0,0.22,2.3,0,88.7,131,263,0,0.03,22.7,0,0.12,0.04,0.05,0.02,0,0
Carambola. c/ casca. in 0tura,7,3,2,3,0.1,0,11.3,13.8,0.45,0.09,0,5.75,56,9.98,0.24,2.44,12.9,0.21,8.83,0.15,0,159,1.05,0,0,0.5,4.91,0.14,104,1.98,3.97,0,0,73,0,0.29,0.02,0.12,0.01,0,0
Carne desfiada (carne louca). c/ sal,4,9,9,11.5,1.26,0,5.31,6.58,0.97,0.15,70.5,40.2,245,9.83,2.16,1.27,137,16.1,18.4,0.25,1.08,305,19.3,0.03,0.5,0.37,346,0.04,67.1,4.64,9,1.77,0.13,6.88,1.83,5.52,4.51,5.52,5,0.24,0
Carne. boi. acém moída. cozida. c/ óleo de soja. cebola e alho. c/ sal,4,8,8,11.5,0.22,0,0.61,0.75,1.41,0.07,107,5.16,228,6.07,2.8,0.14,175,12.6,18.7,0.02,1.84,282,28,0.33,0.5,0.03,252,0,67.2,0,0,2.71,0.01,0.45,2.9,8.48,5.09,1.04,5.2,0.26,0
Carne. boi. acém. moída. refogada (c/ óleo. cebola e alho). c/ sal,4,9,9,11.5,0.62,0.00,0.58,0.71,2.06,0.09,72.3,5.79,213,4.11,2.15,0.13,199,12.1,18.6,0.01,3.90,320,25.5,0.21,0.50,4.43,263,0.13,59.7,2.63,2.63,3.29,0.03,0.41,0.08,7.52,4.21,3.17,4.33,0.21,0.00
Carne. boi. acém. s/ gordura. à milanesa (ovo e farinha de rosca). frita (c/ óleo de soja). c/ sal,3,10,10,14,0.52,0,8.21,8.73,1.9,0.13,114,13.8,289,19,2.97,0.53,215,16.7,24.3,0.18,3.7,298,26.2,0.25,0.5,10.6,315,0.17,54.8,20.9,21,3.15,0.02,0,0.31,7.32,5.4,5.7,5.07,0.22,0
Carne. boi. acém. s/ gordura. cozida. c/ molho de tomate (tomate. c/ óleo. cebola e alho). c/ sal,4,8,8,11.5,0.3,0,1.45,2,1.59,0.09,93.9,8.88,200,8.23,2.19,0.55,152,10.7,16.2,0.02,1.43,290,24.4,0.04,0.5,0.08,334,0.03,71.3,14.7,29.4,2.36,0.08,4.38,2.44,7.07,3.52,0.93,5.01,0.26,0
Carne. boi. acém. s/ gordura. cozida. c/ óleo. cebola e alho. c/ sal,4,8,8,14,0.22,0,1.27,1.41,1.4,0.08,111,8.38,233,6.24,2.49,0.14,175,12.6,15.9,0.01,1.7,281,28.6,0.04,0.5,0.03,256,0,66,0,0,2.8,0.08,0.45,2.9,8.35,4.15,1.04,5.93,0.32,0
Carne. boi. acém. s/ gordura. frita (c/ óleo de soja). c/ sal,4,8,8,16,1.13,0,0,0,1.34,0.09,103,4.18,285,3.12,2.68,0,165,19.8,17.2,0.01,1.78,257,26.9,0.32,0.5,4.68,250,0,62.1,0,0,2.79,0,0,0.1,8.16,6.68,5.56,6.17,0.29,0
Carne. boi. alca0a. à milanesa (ovo e farinha de rosca). frita (c/ óleo de soja). c/ sal,4,8,8,11.5,0.79,0,8.21,8.73,2.01,0.11,108,13,309,26.4,3.25,0.53,221,18,30.7,0.19,3.78,349,28.6,0.13,0.5,10.8,305,0.15,52.7,22.2,22.2,2.54,0.01,0,0.33,3.99,5.88,5.62,5.16,0.22,0
Carne. boi. bucho. cozida. c/ óleo. cebola e alho. c/ sal,2,7,7,11.5,0.21,0.00,0.61,0.75,0.79,0.06,232,13.4,134,3.53,0.57,0.14,62.9,5.47,7.84,0.02,2.06,81.3,20.6,0,0.45,38.1,215,0,72.4,0,0,0.45,0.01,0.45,0.00,2.38,1.60,0.82,2.46,0.14,0.00
Carne. boi. capa de con0a0filé. c/ gordura. grelhada. c/ molho de tomate (tomate. c/ óleo. cebola e alho). c/ sal,4,9,9,22.5,0.25,0,1.13,1.68,1.36,0.14,105,8.89,283,9.98,2.38,0.55,196,18.8,19.6,0.02,1.53,350,27.4,0.06,0.5,0.07,355,0.03,60.8,14.7,29.4,3.37,0.01,4.38,0.11,5.51,7.92,0.93,7.92,0.26,0
Carne. boi. capa de con0a0filé. c/ gordura. grelhada. c/ manteiga. c/ sal,4,9,9,26.5,0.26,0,0,0,1.62,0.13,141,7.68,382,7.56,2.57,0,212,28.9,18.4,0,1.73,320,30.4,0.06,0.5,0.11,277,0,49.1,107,109,3.81,0,0,0.13,6.13,10.9,0.45,14.1,0.59,0
Carne. boi. capa de con0a0filé. c/ gordura. grelhada. c/ molho branco (farinha de 0igo. manteiga e leite). c/ sal,4,9,9,30,0.3,0,3.71,3.77,1.72,0.12,109,41.5,308,12,2.4,0.06,216,20.1,19.9,0.01,2.02,329,28.2,0.13,0.5,1.68,289,0.02,56.2,21,21.3,3.49,0,0,0.11,5.6,8.27,0.88,8.85,0.27,0
Carne. boi. capa de con0a0filé. c/ gordura. grelhada. c/ molho de mostarda (creme de leite. suco de limão e mostarda). c/ sal,4,7,7,30,0.17,0,2.48,2.52,1.7,0.12,115,20.6,310,7.49,2.35,0.03,207,21.2,18.4,0.01,1.6,323,27.3,0.08,0.5,0.02,331,0.01,57.2,0.03,0.06,3.39,0.01,1.38,0.27,5.51,8.42,0.34,9.51,0.36,0
Carne. boi. capa de con0a0filé. s/ gordura. grelhada. c/ molho de tomate (tomate. c/ óleo. cebola e alho). c/ sal,4,9,9,26.5,0.25,0,0.89,1.44,1.47,0.13,70.7,10.3,218,9.26,2.6,0.55,260,9.89,26,0.03,1.63,404,31.2,0.07,0.5,0.07,357,0.05,66,14.7,29.4,2.99,0.01,4.38,0.06,6.77,4.04,0.84,3.96,0.13,0
Carne. boi. capa de con0a0filé. s/ gordura. grelhada. c/ manteiga. c/ sal,4,9,9,30,0.26,0,0,0,1.74,0.12,101,9.25,308,6.75,2.81,0,285,18.9,25.5,0.01,1.84,381,34.8,0.08,0.5,0.11,280,0.03,54.6,107,109,3.39,0,0,0.06,7.56,6.56,0.36,9.67,0.44,0
Carne. boi. capa de con0a0filé. s/ gordura. grelhada. c/ molho branco (farinha de 0igo. manteiga e leite). c/ sal,4,9,9,33.5,0.3,0,3.48,3.53,1.83,0.12,74.6,42.9,243,11.3,2.62,0.06,281,11.3,26.3,0.02,2.12,383,32,0.14,0.5,1.68,291,0.04,61.4,21,21.3,3.11,0,0,0.06,6.86,4.4,0.79,4.89,0.14,0
Carne. boi. capa de con0a0filé. s/ gordura. grelhada. c/ molho de mostarda (creme de leite. suco de limão e mostarda). c/ sal,3,8,8,33.5,0.17,0,2.25,2.28,1.8,0.12,80.6,22,244,6.77,2.57,0.03,272,12.4,24.8,0.02,1.71,377,31.2,0.09,0.5,0.02,333,0.03,62.4,0.03,0.06,3.01,0.01,1.38,0.21,6.78,4.55,0.25,5.55,0.23,0
Carne. boi. capa de con0a0filé. s/ gordura. grelhada. c/ óleo e cebola. c/ sal,4,9,9,26.5,0.14,0,0.41,0.53,1.83,0.13,83.9,10.2,252,7.58,2.98,0.12,302,11.6,27.5,0.02,1.94,412,36.7,0.08,0.5,0,284,0.03,59.4,0,0,3.56,0.01,0.24,0.07,7.99,4.76,0.9,4.67,0.16,0
Carne. boi. con0a0filé de costela. grelhada. c/ manteiga. c/ sal,4,8,8,30,0.26,0,0,0,1.62,0.13,141,7.68,382,7.56,2.57,0,212,28.9,18.4,0,1.73,320,30.4,0.06,0.5,0.11,277,0,49.1,107,109,3.81,0,0,0.13,6.13,10.9,0.45,14.1,0.59,0
Carne. boi. con0a0filé de costela. grelhada. c/ molho de tomate (tomate. c/ óleo. cebola e alho). c/ sal,3,8,8,30,0.25,0,1.13,1.68,1.36,0.14,105,8.89,283,9.98,2.38,0.55,196,18.8,19.6,0.02,1.53,350,27.4,0.06,0.5,0.07,355,0.03,60.8,14.7,29.4,3.37,0.01,4.38,0.11,5.51,7.92,0.93,7.92,0.26,0
Carne. boi. con0a0filé de costela. grelhada. c/ molho branco (farinha de 0igo. manteiga e leite). c/ sal,3,8,8,33.5,0.3,0,3.71,3.77,1.72,0.12,109,41.5,308,12,2.4,0.06,216,20.1,19.9,0.01,2.02,329,28.2,0.13,0.5,1.68,289,0.02,56.2,21,21.3,3.49,0,0,0.11,5.6,8.27,0.88,8.85,0.27,0
Carne. boi. con0a0filé de costela. grelhada. c/ molho de mostarda (creme de leite. suco de limão e mostarda). c/ sal,3,7,8,33.5,0.17,0,2.48,2.52,1.7,0.12,115,20.6,310,7.49,2.35,0.03,207,21.2,18.4,0.01,1.6,323,27.3,0.08,0.5,0.02,331,0.01,57.2,0.03,0.06,3.39,0.01,1.38,0.27,5.51,8.42,0.34,9.51,0.36,0
Carne. boi. costela. assada. s/ óleo. c/ sal,3,8,8,22.5,0,0,0,0,1.57,0.09,103,30.8,396,7.28,2.39,0,196,30.1,21.4,0,0.61,295,31.3,0.09,0.5,0,298,0,47,0,0,3.51,0.38,0,0,5.97,13.3,0.33,12.9,0.94,0
Carne. boi. costela. cozida. c/ óleo. c/ sal,3,8,8,18.5,0.31,0,0,0,1.46,0.14,92.1,11,377,6.93,3.33,0,232,28.5,21.8,0.02,3.18,309,30.5,0.2,0.5,21.9,255,0.06,49.6,0,0,3.43,0.28,0,0,7.72,10.4,6.81,9.32,0,0
Carne. boi. de primeira (alca0a. con0afilé. coxão mole. filé mignon. lagarto. patinho). frita (c/ óleo de soja). c/ sal,3,8,8,4,1.31,0,0,0,2.09,0.13,94.1,4.54,289,10.7,2.66,0,245,17.1,21.6,0.01,3.93,336,33.8,0.06,0.88,6.7,404,0.02,56.5,2.79,2.79,2.14,0.04,0,0.07,5.66,5.45,5.45,5.16,0.2,0
Carne. boi. de segunda (acém. paleta. peito). frita (c/ óleo de soja). c/ sal,2,8,8,3.5,1.42,0,0,0,1.68,0.1,86.4,4.79,320,6.67,2.16,0,166,23.9,16.3,0,2.83,237,26.3,0.22,0.88,3.83,406,0.01,58.8,0,0,3.13,0,0,0.15,6.3,8.43,5.54,7.99,0.42,0
Carne. boi. de segunda (músculo. paleta). cozida. c/ molho de tomate (tomate. c/ óleo. cebola e alho). c/ sal,3,8,8,3,0.42,0,0.91,1.47,1.62,0.11,49,7.32,179,10.8,2.09,0.56,171,7.33,17.1,0,1.81,287,27.1,0.03,0.88,2.65,338,0.04,73.6,15,29.9,3.07,0.01,4.46,0.07,5.86,2.8,0.81,2.93,0.15,0
Carne. boi. fígado. frita (c/ óleo de soja). c/ sal,3,9,9,3,1.75,0,4.23,4.23,2.47,12.7,605,5.72,297,292,5.84,0,423,17.8,9.77,0.22,12,311,30.1,2.71,0.5,11.5,280,0.21,55.4,14682,14682,64.5,0,1.52,2.51,3.98,4.26,6.36,6.07,0.16,0
Carne. boi. fígado. grelhada. c/ óleo e cebola. c/ sal,3,7,7,3.5,1.05,0,4.8,4.91,2.57,13.1,628,6.73,239,289,6.07,0.12,441,10.6,10.8,0.23,12.5,333,31.3,2.81,0.5,0,283,0.23,60.6,15229,15229,80.6,0.01,2.41,2.15,4.14,2.57,1.84,5.09,0.12,0
Carne. frango. à passarinho. frito (c/ óleo de soja). c/ suco de limão. c/ sal,2,9,9,3.5,0.01,0.45,0.85,0.88,1.64,0.05,110,15.5,191,5.22,0.93,0.04,228,8.81,17.2,0.03,0.00,289,27.1,0.00,0.00,0.01,248,0.01,61.6,8.32,8.37,0.23,0.00,1.09,0.00,1.65,3.11,1.86,2.36,0.10,0.00
Carne. frango. asa. c/ pele. assada. s/ óleo. c/ sal,2,8,8,3.5,0.84,0,0,0,1.46,0.02,138,15.4,255,6.23,0.76,0,173,17.1,26.1,0,2.9,177,25.4,0.06,0.5,12.8,312,0.09,67.9,10.9,10.9,0.24,0,0,0.12,1.75,8.06,3.66,5.37,0.05,0
Carne. frango. asa. c/ pele. frita (c/ óleo de soja). c/ sal,2,9,9,4,1.84,0,0,0,1.38,0.05,127,14.2,314,5.73,0.7,0,159,24.5,24,0.01,2.67,163,23.4,0.06,0.5,11.8,303,0.08,62.4,0,0,0.22,0,0,0.11,1.61,9.46,8.63,6.28,0.09,0
Carne. frango. caipira. inteiro. s/ pele. cozida. s/ óleo. c/ sal,2,6,6,4,0.19,0,0.23,0.23,1.64,0.16,115,72.6,207,5.48,2.32,0,229,8.44,25.4,0.02,10.1,244,32.4,0.03,0.5,0,234,0.03,67.3,0,0,0.31,0,0.99,0,2.91,3.72,1.31,2.41,0,0
Carne. frango. coração. grelhada. s/ óleo. c/ sal,4,8,8,3.5,0,0,0,0,0.11,0.02,16.7,0.51,11,3.86,0.39,0,16.5,0.72,1.2,0,0.58,14.5,1.34,0.01,0.03,0.35,18.4,0.01,3.79,0,0,0.42,0,0.2,0,0.21,0.25,0.09,0.21,0.01,0
Carne. frango. coxa. s/ pele. cozida. s/ óleo. c/ sal,4,7,7,4.5,0.23,0,0,0,1.45,0.03,145,13,174,6.81,0.91,0,204,6.4,12.2,0,11.4,209,29.3,0.06,0.5,0,268,0.06,72.9,0,0,0.53,0,0,0.04,3.1,2.3,1.2,2.19,0,0
Carne. frango. empa0do. tipo nuggets. congelado. assado (s/ óleo),2,8,8,4.5,1.50,0,27.3,29.7,3.73,0.19,43.3,56.5,303,74.4,2.13,2.34,285,12.8,46.8,0.68,8.51,409,18.5,0.08,0,25.3,961,0.13,35.3,20.4,20.4,0.27,0.39,0.00,0,1.12,5.94,7.88,4.29,0.10,0.00
Carne. frango. empa0do. tipo nuggets. congelado. frito (c/ óleo de soja),2,8,8,3,1.35,0,22.7,24.7,3.10,0.17,36.0,47.0,339,61.9,1.77,1.95,237,20.3,39.0,0.57,7.09,340,15.4,0.07,0,21.0,800,0.10,36.5,13.6,13.6,0.23,0.25,0.00,0,0.93,5.88,8.96,4.18,0.11,0.00
